N1_1,VRTG,ALT_RADIO,DIST_TO_THR_CONV,IVV,LOC,PITCH
62.4,1.07,78,198.79,-608,-0.0302,2.3
62.8,1.02,62,98.97,-544,-0.0202,1.8
61,1.02,47,4.07,-512,-0.0202,1.6
60.9,1.07,34,80.86,-480,0,2.1
60.9,1.07,25,152.08,-400,-0.0101,2.6
60.9,1.08,18,223.29,-288,0,3
60.8,1.07,12,294.5,-176,0,3
55.5,1.05,8,365.94,-96,0.0101,3
46.8,0.98,5,437.16,-96,0,2.6
38.8,1.35,2,507.92,-128,0,3
33.9,1.34,1,578.23,0,0,3
31.4,1.25,-1,647.86,-160,0,2.5
32.3,1.17,0,716.58,-144,-0.0101,0.9
36.5,1.07,0,783.73,-16,-0.0101,0.2
49.4,1.07,0,849.29,-32,-0.0101,-0.2
67.6,1.09,0,912.59,-64,-0.0101,-0.4
57.1,1.11,558,3031.44,-528,0.0907,0.9
56.5,0.97,557,3000.75,-544,0.0806,0
49.9,0.94,561,2953.13,-720,0.0706,-0.5
41.1,1,554,2873.17,-912,0.0706,1.1
50.4,1.08,545,2812.34,-992,0.0706,2.1
56.6,1.1,530,2759.7,-912,0.0706,2.3
58.1,1.07,505,2661.6,-816,0.0605,2.1
59.8,0.94,485,2585.61,-816,0.0706,0.9
59.9,1.14,465,2501.04,-880,0.0605,1.1
59.8,1.14,449,2424.07,-720,0.0706,1.8
59.8,1.09,437,2359.29,-608,0.0706,1.6
58.9,1.03,427,2292.8,-672,0.0806,0.5
51.8,1.07,416,2224.43,-736,0.0806,0.7
51.8,1.07,404,2150.18,-656,0.0706,0.7
51.8,0.99,394,2085.04,-592,0.0806,0.9
51.5,1,381,2005.79,-672,0.0806,0.5
51.5,1.01,371,1932.38,-704,0.0907,0.4
51.5,0.97,358,1855.85,-800,0.0907,1.1
55.9,1.16,345,1779.15,-896,0.0907,2.3
56.9,1.11,333,1718.3,-768,0.0907,2.6
56.5,1.09,319,1637.24,-704,0.0806,2.5
56.5,1.07,307,1578.74,-592,0.0605,1.9
56.9,0.96,298,1512.7,-608,0.0605,1.1
53.1,0.99,290,1453.19,-656,0.0403,0.5
50.6,1.03,276,1376.55,-704,0.0403,1.1
50.9,1.04,266,1305.99,-736,0.0302,1.6
56.3,1.06,253,1236.81,-736,0.0302,2.1
57.3,1.06,239,1169.59,-736,0.0202,2.1
60.4,1.09,225,1095.07,-672,0.0101,2.3
62.5,1.08,212,1011.47,-576,0.0101,2.5
62.5,1.03,200,929.6,-512,0.0101,1.9
61.5,1.02,188,849.57,-544,0.0202,1.2
54.3,1.01,176,755.38,-560,0.0202,0.9
50.9,0.96,164,671.44,-656,0.0101,0.7
54.8,1.04,152,595.48,-768,-0.0101,1.1
56.3,1.06,139,524.17,-816,-0.0101,1.4
57.9,1.04,126,443.12,-784,0,1.4
59.3,1.07,113,376.39,-752,0.0101,1.4
59.4,1,99,305.13,-736,-0.0101,1.4
59.3,1.01,86,224.4,-768,-0.0101,1.2
62.5,1.08,73,150.34,-736,0.0101,1.8
63.4,1.06,60,73.31,-672,0.0202,1.8
63,1.05,47,8.67,-656,0.0302,1.4
56.8,1.06,36,82.37,-656,0.0101,1.8
56.5,1.15,25,156.52,-528,0.0302,3.2
56.6,1.13,16,230.67,-352,0.0202,3.5
51.9,1.13,10,304.82,-224,0.0202,4
43.5,1.08,5,378.52,-96,0.0101,3.9
36.4,1.11,2,451.77,-80,-0.0101,3.2
32.5,1.08,1,524.57,-16,-0.0202,3.2
31.3,1.26,0,596.46,-112,-0.0101,3.5
31.4,1.1,0,667.45,-64,-0.0101,3.5
31.4,1.17,0,737.08,-160,-0.0101,2.1
31.4,1.16,0,805.35,-80,-0.0101,0.5
32.4,1.23,0,871.82,-64,-0.0101,0.9
62.6,1.06,425,2959.03,-400,2.5806,3.9
62.6,1.01,416,2890.36,-416,2.5806,3.5
63.3,1.02,406,2821.92,-400,2.5806,3.5
68,1.04,398,2753.24,-384,2.5806,3.7
68.8,1.12,391,2684.57,-320,2.5806,3.7
68.4,0.95,384,2615.62,-304,2.5806,3.2
68.5,1.04,378,2546.67,-352,2.5806,3.3
68.5,1.09,373,2477.49,-320,2.5806,4.6
68.5,1.05,366,2408.31,-272,2.5806,4.6
68.5,1.03,359,2339.13,-224,2.5806,4.2
68.5,1.02,352,2269.95,-192,2.5806,3.9
68.5,1.01,347,2200.78,-240,2.5806,3
68,0.98,340,2131.6,-256,2.5806,2.8
67.9,1.05,335,2062.14,-352,2.5806,3.5
67.9,1.07,327,1992.67,-352,2.5806,3.5
67.9,0.99,319,1922.99,-352,2.5806,2.8
67.5,1.03,311,1853.3,-384,2.5806,2.3
66.3,1.03,304,1783.33,-352,2.5806,2.5
66.4,1,295,1713.36,-400,2.5806,2.1
66.4,1.05,287,1643.16,-448,2.5806,2.8
66.6,1.04,279,1572.97,-432,2.5806,3
70.3,1.05,270,1502.49,-384,2.5806,2.8
70.1,0.97,261,1432.01,-416,2.5806,2.5
68.1,1,253,1361.25,-480,2.5806,1.6
68.4,0.98,246,1290.26,-528,2.5806,1.8
68.3,1.04,236,1218.99,-576,2.5806,2.1
68.3,1.09,226,1147.5,-560,2.5806,2.5
70.6,1.05,216,1075.72,-512,2.5806,2.3
70.6,0.99,205,1003.71,-480,2.5806,1.4
68.5,1.03,194,931.43,-560,2.5806,1.1
68.5,1.07,185,858.91,-608,2.5806,1.4
68.6,1.02,174,786.12,-576,2.5806,1.2
67.3,0.98,162,713.04,-560,2.5806,0.7
61.5,1.02,151,639.73,-608,2.5806,0.9
61.4,1.1,139,566.43,-624,2.5806,1.2
61.4,1.05,128,493.12,-528,2.5806,1.4
61.1,1.02,117,419.82,-544,2.5806,1.1
61.1,0.98,105,346.52,-544,2.5806,0.9
60.8,1.04,93,273.21,-640,2.5806,0.9
59.1,1,82,200.13,-624,2.5806,0.9
58.9,1.05,70,127.05,-640,2.5806,1.1
58.8,1.05,58,54.26,-608,2.5806,1.1
56.5,1.04,47,18.54,-592,2.5806,1.2
54,1.12,36,91.33,-544,2.5806,2.5
51.6,1.14,27,163.85,-432,2.5806,3.2
46.4,1.03,19,236.13,-352,2.5806,3
39.1,1.12,13,307.91,-272,2.5806,3.3
34,1.09,8,379.18,-208,2.5806,3.5
31.6,1.37,4,449.94,-208,2.5806,3.2
31.3,1.05,0,519.91,-16,2.5806,3.2
32.4,1.16,0,589.09,-208,2.5806,2.8
37,1.08,0,657.25,-112,2.5806,2.3
50.8,1.09,0,724.12,-224,2.5806,1.2
70,1.1,0,789.17,-64,2.5806,0
83.6,1.06,0,851.68,-96,2.5806,-0.5
58.1,1.09,659,3365.7,-768,-0.0302,1.4
58.1,1.04,653,3309.27,-688,-0.0202,1.1
58.1,0.93,647,3240.95,-720,-0.0403,0.7
55.4,1.02,633,3161.87,-832,-0.0302,0.9
55.4,1.05,620,3087.41,-864,-0.0302,1.1
55.4,1.01,603,3015.66,-832,-0.0403,1.1
55.3,1.03,583,2923.92,-880,-0.0403,0.9
55.3,1.07,561,2834.02,-896,-0.0504,1.6
55.3,1.08,548,2774.58,-816,-0.0504,1.6
55.3,1.06,532,2701.87,-832,-0.0605,0.9
55.3,1.1,518,2617.42,-800,-0.0706,0.7
55.3,0.99,503,2563.03,-848,-0.0706,0.5
55.3,1.11,489,2487.69,-864,-0.0706,1.4
54.3,1.1,471,2399.21,-832,-0.0706,1.8
54.1,1.01,455,2326.19,-832,-0.0605,1.4
54.1,1.1,440,2250.17,-800,-0.0605,2.1
54.1,1.1,423,2172.88,-704,-0.0504,2.5
54.1,1.03,408,2091.07,-672,-0.0403,2.1
54.1,1.05,393,2009.27,-720,-0.0403,1.4
57,1.05,377,1918.33,-720,-0.0403,1.8
58.9,1.03,358,1825.39,-704,-0.0504,1.6
58.6,1,338,1721.88,-704,-0.0504,1.4
58.4,1,323,1641.86,-752,-0.0605,1.1
58.4,1.1,309,1547.18,-768,-0.0605,2.1
58.4,1.03,299,1488.56,-768,-0.0706,2.1
58.4,1,290,1438.34,-736,-0.0605,1.8
58.4,1.04,283,1385.45,-768,-0.0504,1.6
58.4,1.17,270,1315.36,-800,-0.0504,2.1
58.9,1.21,258,1239.54,-736,-0.0504,3.3
61.9,1.05,246,1175.8,-608,-0.0504,3.2
62.4,1.03,233,1105.61,-576,-0.0403,2.3
62.1,1.03,223,1030.36,-640,-0.0403,1.4
62.3,1.06,215,964.47,-608,-0.0302,2.1
62.4,0.98,203,885.88,-640,-0.0302,1.9
62.5,1.05,189,796.55,-704,-0.0302,1.6
62.5,1.05,178,722.54,-688,-0.0302,1.8
62.5,0.98,164,633.32,-672,-0.0302,1.2
60.6,1.04,147,536.72,-768,-0.0202,0.7
60,1.09,130,437.2,-784,-0.0202,1.9
60.1,1.07,114,349.83,-800,-0.0101,1.9
59.6,1.05,98,259.29,-736,-0.0101,1.8
57.9,1.03,80,159.7,-752,0.0101,1.6
56.3,1.01,64,69.32,-736,0,1.6
54.4,1.17,50,10.75,-720,0,3.2
49.5,1.22,36,88.97,-512,0,4.9
47.4,1.14,24,166.86,-288,0,4.9
46.3,0.97,16,244.29,-208,0,3.9
39.9,1.09,10,321.15,-224,0.0101,3.7
34.5,1.47,6,397.57,-144,0.0101,5.1
31.6,1.05,0,473.41,0,0,4.9
32.1,1.09,0,548.24,-96,0,4.4
35.3,1.05,0,622.06,-176,0,3.9
46.4,1.05,0,694.63,-192,-0.0101,2.3
64.5,1.05,0,765.16,-144,-0.0202,0.4
81.1,1.07,0,833.32,-192,-0.0101,0
58.3,1.02,600,2875.27,-608,2.5806,2.3
58.3,0.98,586,2805.58,-624,2.5806,1.9
58.1,0.98,572,2735.89,-656,2.5806,1.8
58.3,0.99,559,2666.21,-720,2.5806,1.6
58.3,0.98,545,2596.52,-768,2.5806,1.2
58.1,0.98,530,2526.83,-800,2.5806,1.4
58.1,1.03,515,2457.14,-832,2.5806,1.9
58.3,1.02,500,2387.46,-800,2.5806,2.1
58.1,1.01,483,2317.49,-784,2.5806,1.9
58.1,0.98,467,2247.52,-784,2.5806,1.8
58.1,1.02,449,2177.55,-800,2.5806,2.1
58.1,1.04,434,2107.58,-768,2.5806,2.5
58.5,1.07,417,2037.61,-736,2.5806,2.5
61.5,1.03,403,1967.64,-656,2.5806,2.3
61.3,1.02,389,1897.67,-672,2.5806,2.1
62.8,1,377,1827.7,-672,2.5806,1.9
64.3,1.03,364,1757.5,-672,2.5806,2.1
64.1,1.03,352,1687.3,-656,2.5806,2.1
64.1,1.02,340,1616.83,-640,2.5806,2.1
61.9,0.98,327,1546.07,-624,2.5806,1.8
59.3,1.01,314,1475.3,-672,2.5806,1.4
59.4,1.04,301,1404.54,-672,2.5806,1.9
59.5,1.02,289,1333.78,-640,2.5806,2.1
58.3,1.02,277,1263.02,-608,2.5806,2.1
58.4,0.99,265,1192.26,-624,2.5806,1.8
58.4,1.01,253,1121.78,-672,2.5806,1.8
58.5,1.04,241,1051.3,-688,2.5806,2.1
58.5,1.02,227,980.82,-656,2.5806,2.3
61.4,1.01,215,910.34,-640,2.5806,2.5
62.9,1.01,201,839.87,-640,2.5806,2.5
62.8,1.05,187,769.39,-672,2.5806,2.3
62.8,1.03,176,698.91,-608,2.5806,2.8
62.8,1.06,163,628.43,-576,2.5806,3.2
62.8,1.03,151,557.67,-544,2.5806,3.2
62.3,0.96,140,486.91,-576,2.5806,2.1
59.6,0.97,126,416.15,-672,2.5806,1.2
59.9,1.02,112,345.38,-736,2.5806,1.6
59.9,1.05,98,274.62,-752,2.5806,2.3
59.8,1.05,84,203.64,-704,2.5806,2.5
59.8,1.02,70,132.65,-672,2.5806,2.3
59.8,1.02,58,61.66,-640,2.5806,2.3
59.8,1.06,47,9.33,-576,2.5806,2.6
58.4,1.04,37,80.31,-544,2.5806,2.8
56.1,1.07,28,151.07,-512,2.5806,3.3
55.3,1.08,20,221.84,-416,2.5806,4
50.8,1.07,14,292.6,-352,2.5806,4
46,1.06,9,363.08,-256,2.5806,4.4
43.5,1.06,5,433.27,-192,2.5806,4.6
38,1.25,2,502.96,-176,2.5806,4.4
33.6,1,1,572.14,-80,2.5806,3.7
31.5,1.28,0,640.58,-192,2.5806,3.2
31.5,1.12,0,708.23,-192,2.5806,2.3
34.5,1.11,0,774.87,-128,2.5806,0.7
42.4,1.05,0,839.92,-48,2.5806,0.4
60.6,1.05,0,902.66,-112,2.5806,-0.5
53.9,1.05,619,3195.19,-784,-0.0302,1.2
53.9,1.04,604,3123.79,-720,-0.0302,1.2
54,1.01,591,3050.66,-688,-0.0202,1.2
52.9,0.94,580,2977.72,-736,-0.0202,0.5
52.5,0.97,566,2903.01,-848,-0.0202,0.4
52.6,1.03,554,2827.43,-928,-0.0101,0.7
52.6,1.05,540,2756.5,-896,-0.0202,1.2
52.8,1.05,528,2700,-832,-0.0202,1.4
55.1,1.02,513,2641.29,-768,-0.0302,1.4
55.5,1.02,496,2556.54,-752,-0.0302,1.2
56,1.02,479,2472.13,-736,-0.0403,1.4
56.1,1.02,460,2389.06,-704,-0.0302,1.6
56,1.01,442,2300.57,-688,-0.0403,1.6
56,1.01,423,2208,-672,-0.0504,1.6
56,1,404,2108.71,-672,-0.0605,1.6
56.3,1.01,393,2037.65,-672,-0.0504,1.6
57,1.01,382,1970.73,-672,-0.0403,1.6
57,0.98,367,1873.03,-688,-0.0504,1.4
57.6,0.99,354,1788.77,-720,-0.0504,1.4
57.8,1.02,345,1722.88,-736,-0.0403,1.6
57.6,1,330,1638.71,-736,-0.0403,1.6
57.6,1.01,315,1552.23,-768,-0.0302,1.6
57.9,1.02,303,1472.98,-768,-0.0202,1.8
60,1.02,290,1400.76,-752,-0.0101,1.8
60.9,1.03,278,1327.38,-704,0,1.8
60.6,0.98,265,1254.85,-704,0.0101,1.4
57.4,0.98,250,1167.16,-768,0.0202,1.1
56.6,1.05,236,1087.84,-816,0.0302,1.4
56.8,1.04,222,1011.91,-784,0.0403,1.6
56.6,1.01,206,924.21,-768,0.0504,1.4
56.8,1,192,841.96,-768,0.0403,1.6
56.8,1.02,178,766.21,-752,0.0202,1.6
56.8,1.01,164,680.25,-784,0.0101,1.6
56.8,1.03,151,606.16,-816,0,1.4
56.9,1.02,139,531.21,-800,0,1.6
56.9,1,125,455.83,-784,-0.0101,1.6
56.9,1.05,112,381.54,-784,-0.0403,1.8
56.8,1.05,100,309.1,-720,-0.0302,2.3
56.8,1.03,88,240.34,-688,-0.0403,2.1
56.6,1.01,75,164.44,-656,-0.0202,1.6
56.5,1.03,63,91.7,-656,-0.0403,1.9
56.5,1.09,52,17.21,-656,-0.0302,2.6
55.9,1.11,41,52.94,-528,-0.0202,3.2
51.3,1.05,30,129.13,-432,-0.0202,3.2
51.4,1.05,22,205.09,-400,-0.0403,2.8
51,1.1,15,280.83,-304,-0.0504,4
47.8,1.1,10,356.11,-160,-0.0504,4.6
40.3,1.02,6,430.94,-144,-0.0403,4.2
34.6,1.19,3,505.32,-96,-0.0403,4.2
31.8,1.02,1,579.24,-80,-0.0605,4
31.3,1.37,0,652.27,-192,-0.0605,3.3
31.5,1.12,0,724.61,-128,-0.0605,2.8
34.5,1.05,0,795.6,-112,-0.0706,1.2
42.4,1.04,0,865,-32,-0.0605,0.5
60.8,1.03,0,932.37,-96,-0.0302,0
50.1,1.1,638,3114.62,-720,3.2258,0.9
50,0.94,622,3040.3,-752,2.5806,0.4
50,1.03,607,2966.21,-832,3.2258,0.4
50,1.06,593,2892.11,-880,0,0.7
50,1.04,578,2818.3,-832,3.2258,0.7
48,0.97,561,2744.48,-832,2.5806,0.4
44.8,1.04,545,2670.9,-880,3.2258,0.2
45.4,1.02,529,2597.31,-848,0,0.5
45.6,1.05,513,2524.01,-848,3.2258,0.7
45.4,0.99,494,2450.7,-832,2.5806,0.7
49.5,1.13,477,2377.62,-912,3.2258,1.1
52.9,1.1,460,2304.54,-768,0,1.2
53,1.08,444,2231.47,-720,3.2258,1.2
53.9,1,427,2158.39,-672,2.5806,1.1
53.9,1,413,2085.31,-688,3.2258,0.2
53.9,1,399,2012,-736,0,0.7
53.9,1.03,384,1938.7,-752,3.2258,1.2
53.9,1.04,368,1865.39,-736,2.5806,1.4
53.9,1.01,354,1792.09,-720,3.2258,1.1
53.9,1.04,339,1718.79,-768,0,0.7
56.9,1.09,325,1645.48,-736,3.2258,1.6
57.3,1.06,313,1571.89,-640,2.5806,1.9
57.8,0.99,301,1498.31,-608,3.2258,2.3
59.8,1.1,290,1424.72,-640,0,2.8
63.1,1.1,279,1351.13,-560,3.2258,2.8
62.5,1.05,269,1277.55,-464,2.5806,2.1
58.3,1.01,257,1203.73,-576,3.2258,1.2
58.4,1.08,246,1129.92,-656,3.2258,2.1
58.5,1.03,235,1056.11,-608,3.2258,2.1
58.5,1.04,224,982.29,-544,3.2258,1.9
58.4,1.02,212,908.48,-560,3.2258,1.8
58.5,1.03,201,834.67,-528,3.2258,1.8
58.3,1.07,189,760.85,-528,3.2258,1.9
56.1,1,178,687.04,-496,3.2258,1.8
55.3,0.98,166,613.45,-560,3.2258,1.2
53.8,1.02,155,540.15,-608,3.2258,0.9
53.8,0.97,143,466.84,-656,3.2258,0.7
53.8,1.01,130,393.54,-736,3.2258,0.7
53.8,1.06,114,320.46,-784,3.2258,1.4
53.8,1.06,99,247.38,-736,3.2258,1.8
53.8,1.06,83,174.3,-784,3.2258,1.2
53.8,1.06,68,101.51,-736,3.2258,1.9
52.3,1.08,54,28.71,-720,3.2258,2.1
50.8,1.12,42,44.08,-640,3.2258,3
50.6,1.12,31,116.6,-496,3.2258,3.7
48.6,1.07,24,188.89,-384,3.2258,3.5
45.1,1.01,18,260.89,-368,3.2258,2.8
39.4,1.05,13,332.67,-352,3.2258,3.5
34.4,1.44,9,403.94,-320,3.2258,4.4
32,1.39,0,474.7,-48,3.2258,4.6
31.6,1.26,2,544.67,-224,3.2258,3.7
33,1.13,0,613.85,-176,3.2258,2.8
37.5,1.11,0,682.01,-80,3.2258,1.8
52.6,1.05,0,748.64,-96,3.2258,1.2
70.5,1.04,0,812.96,-64,3.2258,0
53.8,1.04,621,3238.02,-800,-0.0504,1.1
53.8,1.03,605,3172.63,-784,-0.0504,1.2
53.8,1.02,592,3095.44,-752,-0.0504,1.2
53.8,0.99,581,3029.15,-784,-0.0504,1.1
53.8,1.06,569,2950.53,-784,-0.0605,1.4
55.4,1.05,557,2881.24,-736,-0.0605,1.4
55.8,1,545,2817.1,-704,-0.0605,1.2
55.6,0.99,535,2758.8,-752,-0.0605,0.9
54.8,1.02,524,2684.21,-784,-0.0504,1.2
54.5,1.06,508,2596.72,-784,-0.0605,1.4
54.6,1.07,491,2512.27,-704,-0.0403,1.6
54.6,1.02,473,2428.95,-624,-0.0403,1.4
54.6,1.03,456,2336.46,-624,-0.0403,1.2
54.6,0.97,438,2237.39,-672,-0.0403,0.9
53.8,0.98,415,2126.08,-720,-0.0302,0.7
53.1,0.97,404,2049.77,-816,-0.0202,0.5
53.3,0.99,392,1968.33,-880,-0.0101,0.4
53.3,1.01,375,1871.04,-880,-0.0101,0.7
53.3,1.02,359,1785.09,-896,-0.0101,0.9
53.3,1.01,349,1731.14,-880,-0.0202,0.9
53.3,1,331,1647.08,-864,-0.0202,0.9
53.3,1.04,313,1556.44,-864,-0.0202,1.1
53.1,1.05,300,1482.77,-832,-0.0302,1.1
54.3,1.05,284,1403.68,-752,-0.0302,1.4
54.6,1.01,271,1327.93,-736,-0.0302,1.2
54.6,1,257,1244.22,-736,-0.0202,0.9
54.5,1,243,1155.57,-768,-0.0302,1.1
54.5,1.02,228,1075.92,-800,-0.0202,1.2
54.5,1.03,215,1002.49,-784,-0.0202,1.2
54.5,1.03,200,916.43,-752,-0.0302,1.2
54.5,1.01,186,835.05,-736,-0.0302,1.6
54.5,1,173,755.18,-752,-0.0302,1.6
